imię,nazwisko,pozycja,wiek,klub,liga,kraj,data_pobrania
Tymoteusz,Puchacz,23.01.99,183 / 81,Sabah Baku,N/A,N/A,2025-11-09 20:19:58
Wiktor,Puciłowski,17.01.05,178 / 70,Charlotte 49ers,N/A,N/A,2025-11-09 20:19:58
Arkadiusz,Pyrka,20.09.02,177 / 70,FC Sankt Pauli,N/A,N/A,2025-11-09 20:19:58
Przemysław,Pęksa,12.03.02,186 / 78,AS Spártakos Kitíou,N/A,N/A,2025-11-09 20:19:58
Przemysław,Płacheta,23.03.98,177 / 71,Oxford United FC,N/A,N/A,2025-11-09 20:19:58
Robert,Rachwał,18.07.07,brak danych,Celtic FC,N/A,N/A,2025-11-09 20:19:58
Kacper,Radkowski,27.03.01,194 / 85,Waterford FC,N/A,N/A,2025-11-09 20:19:58
Damian,Rasak,08.02.96,184 / 77,Újpest FC,N/A,N/A,2025-11-09 20:19:58
Kacper,Rosa,13.08.94,191 / 88,Kəpəz Gəncə,N/A,N/A,2025-11-09 20:19:58
Igor,Rutkowski,05.05.04,brak danych,Armagh City FC,N/A,N/A,2025-11-09 20:19:58
Filip,Rózga,07.08.06,brak danych,SK Sturm Graz,N/A,N/A,2025-11-09 20:19:58
Bartosz,Salamon,01.05.91,194 / 84,Carrarese Calcio 1908,N/A,N/A,2025-11-09 20:19:58
Dominik,Sarapata,25.10.07,180 / 73,FC København,N/A,N/A,2025-11-09 20:19:58
Mikołaj,Sawicki,28.10.05,174 / 69,FK Austria Wiedeń II,N/A,N/A,2025-11-09 20:19:58
Filip,Skorb,13.03.08,185,Celtic FC,N/A,N/A,2025-11-09 20:19:58
Łukasz,Skorupski,05.05.91,187 / 84,Bologna FC 1909,N/A,N/A,2025-11-09 20:19:58
Konrad,Skuza,07.11.98,186 / 80,Lions Gibraltar FC,N/A,N/A,2025-11-09 20:19:58
Oskar,Skuza,16.03.02,175 / 70,College 1975 FC,N/A,N/A,2025-11-09 20:19:58
Michał,Skóraś,15.02.00,172 / 64,Club Brugge KV,N/A,N/A,2025-11-09 20:19:58
Bartosz,Slisz,29.03.99,180 / 76,Atlanta United,N/A,N/A,2025-11-09 20:19:58
Hubert,Sobol,25.06.00,183 / 80,NK Lokomotiva (Zagrzeb),N/A,N/A,2025-11-09 20:19:58
Patrick,Stachow,21.03.09,brak danych,Arsenal FC,N/A,N/A,2025-11-09 20:19:58
Dariusz,Stalmach,08.12.05,182 / 75,1.FC Magdeburg,N/A,N/A,2025-11-09 20:19:58
Adrian,Stanilewicz,22.02.00,181 / 70,SC Fortuna Köln,N/A,N/A,2025-11-09 20:19:58
Dominik,Steczyk,04.05.99,185 / 74,SC Verl 1924,N/A,N/A,2025-11-09 20:19:58
Jakub,Stolarczyk,19.12.00,194 / 77,Leicester City FC,N/A,N/A,2025-11-09 20:19:58
Maksymilian,Stryjek,18.07.96,188 / 81,Kilmarnock FC,N/A,N/A,2025-11-09 20:19:58
Alan,Stulin,05.06.90,170 / 62,SV Rot-Weiss Wittlich 1993,N/A,N/A,2025-11-09 20:19:58
Mariusz,Stępiński,12.05.95,183 / 72,AS Omónia Lefkossías,N/A,N/A,2025-11-09 20:19:58
Dawid,Szczepaniak,13.04.00,194 / 80,Flint Town United FC,N/A,N/A,2025-11-09 20:19:58
Wojciech,Szczęsny,18.04.90,196 / 84,FC Barcelona,N/A,N/A,2025-11-09 20:19:58
Maksymilian,Sznaucner,30.03.06,176 / 67,PAOK,N/A,N/A,2025-11-09 20:19:58
Jakub,Szumski,06.03.92,194 / 78,Sakaryaspor Kulübü,N/A,N/A,2025-11-09 20:19:58
Sebastian,Szymański,10.05.99,174 / 60,Fenerbahçe SK,N/A,N/A,2025-11-09 20:19:58
Filip,Szymczak,06.05.02,184 / 76,Royal Charleroi SC,N/A,N/A,2025-11-09 20:19:58
Bartosz,Szywała,13.01.09,brak danych,SK Slavia Praga,N/A,N/A,2025-11-09 20:19:58
Marcin,Słojkowski,01.02.06,brak danych,ASD Sambiase,N/A,N/A,2025-11-09 20:19:58
Jakub,Słowik,31.08.91,190 / 82,Yokohama FC,N/A,N/A,2025-11-09 20:19:58
Ernest,Słupski,06.06.01,173 / 71,Ethnikós Latsión,N/A,N/A,2025-11-09 20:19:58
Grzegorz,Tarasewicz,22.02.97,178 / 73,FC Schwedt 02,N/A,N/A,2025-11-09 20:19:58
Miłosz,Trojak,05.05.94,191 / 81,Ulsan HD FC,N/A,N/A,2025-11-09 20:19:58
Adrian,Troć,25.04.03,184 / 65,Royal Francs Borains,N/A,N/A,2025-11-09 20:19:58
Przemysław,Tytoń,04.01.87,195 / 80,FC Twente,N/A,N/A,2025-11-09 20:19:58
Damian,Vũ Thành,25.08.03,180 / 66,Thể Công (Hanoi),N/A,N/A,2025-11-09 20:19:58
Patryk,Walicki,29.05.03,brak danych,Royal Francs Borains,N/A,N/A,2025-11-09 20:19:58
Sebastian,Walukiewicz,05.04.00,188 / 80,US Sassuolo Calcio,N/A,N/A,2025-11-09 20:19:58
Filip,Wasilewski,19.09.07,brak danych,Wexford FC,N/A,N/A,2025-11-09 20:19:58
Jakub,Wawszczyk,11.01.98,180 / 69,Džiugas Telsze,N/A,N/A,2025-11-09 20:19:58
David,Widlarz,03.03.05,178 / 64,KAS Eupen,N/A,N/A,2025-11-09 20:19:58
Szymon,Wierzchowski,10.11.98,brak danych,FC Schwedt 02,N/A,N/A,2025-11-09 20:19:58
Mateusz,Wieteska,11.02.97,187 / 77,Kocaelispor Kulübü,N/A,N/A,2025-11-09 20:19:58
Kamil,Wiktorski,12.03.93,188 / 87,Ceahlăul Piatra Neamț,N/A,N/A,2025-11-09 20:19:58
Michał,Willmann,22.07.04,173 / 70,CD Castellón,N/A,N/A,2025-11-09 20:19:58
Aleksander,Wiśniewski,05.01.01,brak danych,AS Othéllos Athiénou,N/A,N/A,2025-11-09 20:19:58
Przemysław,Wiśniewski,27.07.98,195 / 88,Spezia Calcio,N/A,N/A,2025-11-09 20:19:58
Łukasz,Wolsztyński,08.12.94,183 / 73,1.FC Tatran Prešov,N/A,N/A,2025-11-09 20:19:58
Radosław,Wypart,10.07.06,brak danych,FK Ušće Novi Beograd (Belgrad),N/A,N/A,2025-11-09 20:19:58
Szymon,Włodarczyk,05.01.03,189 / 78,SBV Excelsior (Rotterdam),N/A,N/A,2025-11-09 20:19:58
Szymon,Włodarczyk,05.01.03,189 / 78,SK Sturm Graz II,N/A,N/A,2025-11-09 20:19:58
Franciszek,Zabrowarny,14.02.05,brak danych,Royale Union Saint-Gilloise,N/A,N/A,2025-11-09 20:19:58
Nicola,Zalewski,23.01.02,175 / 78,Atalanta BC,N/A,N/A,2025-11-09 20:19:58
Marcel,Zapytowski,08.01.01,187 / 81,ÍBV (Vestmannaeyjar),N/A,N/A,2025-11-09 20:19:58
Oskar,Zawada,01.02.96,192 / 83,FC Groningen,N/A,N/A,2025-11-09 20:19:58
Paweł,Zdunek,16.06.00,179 / 73,MFK Havířov,N/A,N/A,2025-11-09 20:19:58
Piotr,Zieliński,20.05.94,180 / 75,FC Internazionale Milano,N/A,N/A,2025-11-09 20:19:58
Jakub,Zieliński,21.02.08,194 / 86,VfL Wolfsburg,N/A,N/A,2025-11-09 20:19:58
Jan,Ziewiec,13.05.04,186 / 79,Hofstra Pride,N/A,N/A,2025-11-09 20:19:58
Jan,Ziółkowski,05.06.05,194 / 76,AS Roma,N/A,N/A,2025-11-09 20:19:58
Mikołaj,Zięba,27.05.04,169 / 60,MFK Karviná B,N/A,N/A,2025-11-09 20:19:58
Leonard,Zmarzlik,28.05.03,183 / 75,Reynir Sandgerði,N/A,N/A,2025-11-09 20:19:58
Łukasz,Zwoliński,24.02.93,184 / 80,Sakaryaspor Kulübü,N/A,N/A,2025-11-09 20:19:58
imię,nazwisko,data ur.,wzrost / waga,klub,N/A,N/A,2025-11-09 20:19:58
Jan,Łabędzki,11.02.06,brak danych,Bologna FC 1909,N/A,N/A,2025-11-09 20:19:58
Łukasz,Łakomy,18.01.01,181 / 72,Oud-Heverlee Leuven,N/A,N/A,2025-11-09 20:19:58
Łukasz,Łakomy,18.01.01,181 / 72,BSC Young Boys Berno,N/A,N/A,2025-11-09 20:19:58
Kacper,Łopata,27.08.01,193 / 83,Bristol Rovers FC,N/A,N/A,2025-11-09 20:19:58
Aleksander,Łubik,30.07.99,186 / 80,Gżira United FC,N/A,N/A,2025-11-09 20:19:58
Eryk,Łukaszka,24.04.08,brak danych,FK Bodø/Glimt,N/A,N/A,2025-11-09 20:19:58
Mateusz,Łęgowski,29.01.03,181 / 81,Eyüpspor Kulübü,N/A,N/A,2025-11-09 20:19:58
Mateusz,Łęgowski,29.01.03,181 / 81,US Salernitana 1919,N/A,N/A,2025-11-09 20:19:58
Miłosz,Śliwiński,20.06.07,195 / 91,Queen's Park FC,N/A,N/A,2025-11-09 20:19:58
Karol,Świderski,23.01.97,184 / 74,Panathinaïkós AO,N/A,N/A,2025-11-09 20:19:58
Bartosz,Żelazowski,25.04.05,193,OGC Nice-Côte d'Azur,N/A,N/A,2025-11-09 20:19:58
Radosław,Żelezny,06.09.06,193,AS Roma,N/A,N/A,2025-11-09 20:19:58
Jan,Żuberek,13.03.04,188 / 80,FC Internazionale Milano U23,N/A,N/A,2025-11-09 20:19:58
Mateusz,Żukowski,23.11.01,185 / 82,1.FC Magdeburg,N/A,N/A,2025-11-09 20:19:58
Szymon,Żurkowski,25.09.97,185 / 77,Spezia Calcio,N/A,N/A,2025-11-09 20:19:58
